               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1151,            0.021652,                   0,           0.0017531,             0.19695,           0.0016593,          0.00041548,            0.096019,            0.016799,                   0,              0.0019,              0.0019,              0.0829
                   1,            0.091791,            0.022947,                   0,             0.11106,             0.12344,            0.036109,           0.0086743,             0.10142,            0.016045,                   0,           0.0038743,           0.0038743,            0.064874
                   2,            0.078881,            0.019539,                   0,             0.27627,             0.37062,             0.20927,            0.050996,            0.072384,            0.012452,                   0,           0.0058221,           0.0058221,            0.046822
                   3,            0.071521,             0.01773,                   0,             0.44057,              0.3509,             0.31565,             0.10623,            0.072446,            0.011648,                   0,           0.0077436,           0.0077436,            0.028744
                   4,            0.065858,            0.016318,                   0,             0.38714,             0.45209,              0.2943,            0.079757,            0.064005,            0.012681,                   0,           0.0096386,           0.0096386,            0.010639
                   5,            0.059123,            0.015463,                   0,             0.55819,             0.50902,             0.43532,             0.15736,            0.060994,            0.012291,                   0,             0.00967,             0.00967,             0.00967
                   6,            0.054251,            0.014389,                   0,             0.65922,             0.54646,             0.55965,             0.19329,            0.051675,            0.013733,                   0,             0.00967,             0.00967,             0.00967
                   7,            0.050093,            0.014674,                   0,              0.6898,             0.55895,             0.60598,             0.24944,            0.051357,            0.010066,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.049081,            0.014473,                   0,             0.73616,             0.59209,              0.6409,             0.25621,            0.049254,           0.0098298,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.047892,            0.014058,                   0,             0.76677,             0.62013,             0.68232,             0.28117,            0.047242,           0.0091296,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.043946,            0.013597,                   0,             0.77656,              0.6491,             0.72525,             0.30984,            0.046973,           0.0086458,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.044369,            0.013934,                   0,             0.75803,             0.64308,             0.69731,              0.3049,            0.044142,           0.0083371,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.044466,             0.01371,                   0,             0.82133,             0.63107,             0.70756,             0.32109,            0.041713,           0.0084608,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.044061,            0.013737,                   0,             0.83187,              0.6491,             0.74596,             0.35421,            0.041433,           0.0084392,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.042219,            0.012955,                   0,             0.75859,             0.65326,             0.70989,             0.33764,            0.041015,           0.0085923,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.041339,            0.013273,                   0,             0.81345,             0.65187,             0.74624,             0.33071,            0.041709,            0.008321,                   0,            0.009076,            0.009076,            0.009076
                  16,             0.04226,            0.013151,                   0,             0.82297,             0.63107,             0.72605,             0.31849,            0.043289,           0.0081809,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.041106,            0.013186,                   0,             0.79593,             0.65326,             0.72599,             0.32959,            0.040493,           0.0083752,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.040481,            0.013117,                   0,             0.80629,             0.66969,             0.75502,             0.35551,            0.041658,           0.0081321,                   0,            0.008878,            0.008878,            0.008878
                  19,            0.039029,            0.012454,                   0,             0.82993,             0.66158,             0.75704,             0.37831,            0.039387,           0.0080505,                   0,            0.008812,            0.008812,            0.008812
                  20,             0.03976,            0.012808,                   0,             0.79348,              0.7018,             0.77219,             0.38589,            0.038173,           0.0078583,                   0,            0.008746,            0.008746,            0.008746
                  21,            0.038357,            0.012362,                   0,              0.8079,             0.70735,             0.77063,             0.37466,            0.038126,           0.0079158,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.038676,             0.01254,                   0,             0.83443,             0.71151,             0.79194,             0.39333,            0.036547,           0.0077352,                   0,            0.008614,            0.008614,            0.008614
                  23,            0.037361,             0.01222,                   0,             0.83701,               0.698,             0.77311,              0.3874,            0.036123,           0.0076525,                   0,            0.008548,            0.008548,            0.008548
                  24,            0.037262,            0.012392,                   0,             0.83571,             0.70552,             0.78283,             0.37401,            0.038632,           0.0078333,                   0,            0.008482,            0.008482,            0.008482
                  25,            0.036882,            0.011677,                   0,             0.79815,             0.71843,             0.78233,             0.39198,            0.037408,           0.0082198,                   0,            0.008416,            0.008416,            0.008416
                  26,            0.037439,            0.012327,                   0,             0.84363,             0.67961,             0.77328,             0.38384,            0.037086,            0.007614,                   0,             0.00835,             0.00835,             0.00835
                  27,            0.036031,            0.012191,                   0,             0.82985,             0.71528,              0.7873,             0.39638,            0.036846,           0.0076902,                   0,            0.008284,            0.008284,            0.008284
                  28,            0.035932,            0.011898,                   0,             0.81889,             0.70735,             0.78491,             0.39468,             0.03714,           0.0076542,                   0,            0.008218,            0.008218,            0.008218
                  29,            0.036294,            0.012834,                   0,             0.85581,             0.66806,             0.76999,             0.38523,            0.036169,           0.0079892,                   0,            0.008152,            0.008152,            0.008152
                  30,            0.036667,            0.012313,                   0,               0.856,             0.67961,              0.7915,             0.39938,            0.035645,            0.007516,                   0,            0.008086,            0.008086,            0.008086
                  31,             0.03513,            0.012116,                   0,             0.78836,             0.72848,             0.78777,             0.39441,            0.036327,           0.0075803,                   0,             0.00802,             0.00802,             0.00802
                  32,            0.034572,             0.01183,                   0,             0.84233,             0.69649,             0.79336,             0.40401,            0.035438,           0.0076687,                   0,            0.007954,            0.007954,            0.007954
                  33,            0.034808,             0.01154,                   0,             0.83861,             0.71429,             0.79947,             0.41131,            0.036332,           0.0076474,                   0,            0.007888,            0.007888,            0.007888
                  34,            0.034548,            0.011383,                   0,             0.85593,             0.68932,             0.79696,             0.39758,            0.037397,           0.0078337,                   0,            0.007822,            0.007822,            0.007822
                  35,            0.035062,            0.011371,                   0,              0.8467,             0.70476,             0.80213,             0.41111,            0.035227,           0.0076209,                   0,            0.007756,            0.007756,            0.007756
                  36,            0.032766,            0.011166,                   0,             0.81116,             0.72677,             0.80249,             0.40798,            0.037598,            0.007902,                   0,             0.00769,             0.00769,             0.00769
                  37,            0.034437,            0.011529,                   0,             0.82789,             0.74723,             0.81577,             0.41205,            0.034828,           0.0075594,                   0,            0.007624,            0.007624,            0.007624
                  38,            0.033834,            0.011379,                   0,             0.82385,             0.72954,             0.81303,             0.41102,            0.038194,           0.0080002,                   0,            0.007558,            0.007558,            0.007558
                  39,            0.033273,            0.011076,                   0,             0.79046,             0.74341,             0.79747,             0.40792,            0.035384,           0.0076283,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.032744,            0.011237,                   0,             0.80965,             0.74444,             0.80574,             0.42307,            0.034214,           0.0074299,                   0,            0.007426,            0.007426,            0.007426
